brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
198,CALCIUM  (AS CARBONATE),,COATED  TAB,500 mg,,329,70%, , ,470,470,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,66725,50253,
1417,CALCIUM  (AS GLUCONATE), توليد داخل,TAB,45 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2113,CALCIUM  CHLORIDE, توليد داخل,INJ,100 mg/ml    (10 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
199,CALCIUM  FORTE,,EFF  TAB,,,2170,70%, , ,3100,3100,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
200,CALCIUM  GLUCONATE,,INJ,10%    (10 ml),56100,124700,80.921,30%, ,98000,154100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,روستايي
,نياز به کد اصالت دارو",,,61071,200,
197,CALCIUM - D,,FC  TAB,,,392,70%, , ,560,560,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,,81216,
9572,CALCIUM FOLINATE,   تجويز توسط پزشك متخصص / تاييد در داروخانه / با سهم سازمان 90 درصد ,VIAL,200 mg/20ml,367771,720481,94.841,5%, ,391900,759671,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67171,9572,
11889,CALCIUM FOLINATE,   تجويز توسط پزشك متخصص / تاييد در داروخانه با سهم سازمان 90 درصد ,AMP,10 mg/ml    (5 ml),,293850,90%, , ,326500,326500,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,65510,11889,
736,CALCIUM FOLINATE(LEUCOVORIN),   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,AMP,30 mg/3ml,62262,152532,93.83,5%, ,100300,162562,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67172,,
737,CALCIUM FOLINATE(LEUCOVORIN),   تجويز توسط پزشك متخصص,INJ,3 mg/ml,,6125,70%, , ,8750,8750,70%,"مددجويان کميته امداد
,بهزيستي",,,61832,,
738,CALCIUM FOLINATE(LEUCOVORIN),   تجويز توسط پزشك متخصص تاييد در داروخانه با سهم سازمان 90 درصد ,TAB,15 mg,28663,52963,95.149,5%, ,27000,55663,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67173,738,
739,CALCIUM FOLINATE(LEUCOVORIN) ),   تجويز توسط پزشك متخصص,TAB,25 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,,
9570,CALCIUM FULINATE,   تجويز توسط پزشك متخصص / تاييد در داروخانه,INJ,10 mg/ml    (10 ml),,191800,70%, , ,274000,274000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,65509,11886,
16766,CALCIUM FULINATE,   تجويز توسط پزشك متخصص / تاييد در داروخانه با سهم سازمان 90 درصد ,VIAL,100 mg,171950,487760,93.288,5%, ,350900,522850,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,65962,16766,
19476,CALCIUM FULINATE,   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,500mg,,759600,90%, , ,844000,844000,90%,"مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت",,,,,
740,CALCIUM FULINATE( LEUCOVORIN CALCIUM),   تجويز توسط پزشك متخصص,TAB,5 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,,
201,CALCIUM PANTOTHENATE, بيش از 0 سال  کمتر از 12 سال ,TAB,100 mg,2700,6900,79.31, , ,6000,8700,70%,"مددجويان کميته امداد
,بهزيستي",,,61073,,
202,CALENDULA®,,OINT,,,33600,70%, , ,48000,48000,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,92712,
203,CAMPHOR,,BULK,,,588,70%, , ,840,840,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2492,CAPECITABINE,   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,TAB,150 mg,,0,70%, , ,0,0,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,,
2493,CAPECITABINE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,TAB,500 mg,115741,223434,94.916,5%, ,119659,235400,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,63819,2493,
204,CAPREOMYCIN  (AS SULFATE),   تجويز توسط پزشك متخصص,INJ  (IM),1 g,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,61074,,
205,CAPTOPRIL,,SCORED  TAB,25 mg,903,3112,76.674, , ,3156,4059,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61075,,
206,CAPTOPRIL,,SCORED  TAB,50 mg,1792,4596,79.27, , ,4007,5799,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61076,,
1419,CARAWAY MIXTURE®,,ORAL SOLUTION,,,28000,70%, , ,40000,40000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
208,CARBAMAZEPINE,,SCORED  TAB,200 mg,8500,13540,86.242, , ,7200,15700,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,61077,,
1420,CARBAMAZEPINE  SR, توليد داخل,TAB,400 mg,13381,23964,84.085, , ,15119,28500,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62718,,
2114,CARBAMAZEPINE  SR, توليد داخل,TAB,200 mg,8755,17606,82.273, , ,12645,21400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67177,,
209,CARBAMIDE PEROXIDE,,LIQIUD  FOR  TOP  ORAL,10%    (15 ml),,1400,70%, , ,2000,2000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
214,CARBOPLATIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,VIAL,150 mg,3049786,4214218,97.021,10%, ,1293814,4343600,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,61081,214,
215,CARBOPLATIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,VIAL,50 mg,1945400,2632280,97.182,10%, ,763200,2708600,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,61088,215,
2375,CARBOPLATIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,10 mg/ml    (5 ml),,486000,90%, , ,540000,540000,90%,"مددجويان کميته امداد
,بهزيستي",,,61088,,
2376,CARBOPLATIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,10 mg/ml    (15 ml),,720000,90%, , ,800000,800000,90%,"مددجويان کميته امداد
,بهزيستي",,,61081,,
13830,CARBOPLATIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,VIAL,450MG,8585406,10843050,97.738,10%, ,2508494,11093900,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,65700,13830,
99906,CARBOPLATIN,   تجويز توسط پزشك متخصص,"INJ SOL     , CONCENTRATE",10 mg/ml    (45 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,65700,,
99970,CARBOPLATIN, پرونده اي   تجويز توسط پزشك متخصص,INJ,50 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60770,CARBOXY METHYL CELLULOSE (C.M.C),,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1320,CARMINT,,ORA DROPS,,,28000,70%, , ,40000,40000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
219,CARMUSTINE (BICNU), پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,100 mg,,1592100,90%,5%, ,1769000,1769000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,61094,219,
220,CARNITINE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي كودكان و مغز واعصاب و بيماريهاي داخلي در درمان چاقي در تعهد نمي باشد<br> يا  پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي غدد درون ريز و متابوليسم در درمان چاقي در تعهد نمي باشد,TAB,250 mg,3551,6561,83.568,20%, ,4300,7851,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,61097,,
743,CARNITINE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي كودكان و مغز واعصاب و بيماريهاي داخلي در درمان چاقي در تعهد نمي باشد<br> يا  پرونده اي بيمه سلامت   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي غدد درون ريز و متابوليسم در درمان چاقي در تعهد نمي باشد,INJ,200 mg/ml    (5 ml),16886,75686,75.021, , ,84000,100886,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,61840,743,
1422,CARNITINE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص در درمان چاقي در تعهد نمي باشد,ORAL  SOL  OR  SYR,,,11445,70%, , ,16350,16350,70%,"مددجويان کميته امداد
,بهزيستي",,,65612,,
11437,CARNITINE, پرونده اي   تجويز توسط پزشك متخصص در درمان چاقي در تعهد نمي باشد,ORAL  SOL,1000 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
8331,CARNITINE, پرونده اي   تجويز توسط پزشك متخصص در درمان چاقي در تعهد نمي باشد,ORAL  SOL,2 gr/ml (5ml),,15260,70%, , ,21800,21800,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
99972,CARNITINE, پرونده اي   تجويز توسط پزشك متخصص در درمان چاقي در تعهد نمي باشد,SYRUP,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1924,CARVEDILOL,,TAB,12.5 mg,4350,6380,88, , ,2900,7250,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63171,,
1925,CARVEDILOL,,TAB,25 mg,3073,5509,84.068, , ,3480,6553,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63178,,
2475,CARVEDILOL,,TAB,6.25 mg,3790,5400,88.669, , ,2300,6090,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63806,,
6757,CASPOFUNGIN, بيمارستاني   تجويز توسط پزشك متخصص به عنوان آنتي بيوتيك و ضد قارچ با سهم سازمان 90 درصد ,VIAL,50 mg/10ml,864000,5967000,91.322,5%, ,5670000,6534000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,6757,
6758,CASPOFUNGIN (CANCIDAS), بيمارستاني   تجويز توسط پزشك متخصص به عنوان آنتي بيوتيك و ضد قارچ با سهم سازمان 90 درصد ,VIAL,70 mg,1036800,7160400,91.322,5%, ,6804000,7840800,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64595,6758,
66662,CAST,   تجويز توسط پزشك متخصص گوش و حلق و بيني<br> يا    تجويز توسط پزشك متخصص جراحي عمومي<br> يا    تجويز توسط پزشك متخصص متخصص ارتوپدي<br> يا  بيمارستاني   تجويز توسط پزشك متخصص<br> يا  بيمارستاني   تجويز توسط پزشكان عمومي, ,1 cm,,6020,70%, , ,8600,8600,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
221,CASTOR OIL,,BULK,,,105,70%, , ,150,150,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
222,CEFAZOLIN  (AS DODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,1 g,124950,188545,87.37, , ,90850,215800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,روستايي
,نياز به کد اصالت دارو",,,61099,222,
223,CEFAZOLIN  (AS DODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,250 mg,,34930,70%, , ,49900,49900,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,223,
224,CEFAZOLIN  (AS DODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,500 mg,23500,95320,75.59, , ,102600,126100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,روستايي
,نياز به کد اصالت دارو",,,61111,224,
2416,CEFEPIME, بيمارستاني   تجويز توسط پزشك متخصص,VIAL,1 g,219500,358310,85.761, , ,198300,417800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,63731,2416,
